ticker,security,date_added,date_removed,reason
FBHS,Fortune Brands Home & Security,2016-06-22,2022-12-19,Market capitalization change.[47]
MBC,MasterBrand,2022-12-15,2022-12-19,Market capitalization change.[47]
ABMD,Abiomed,2018-05-31,2022-12-22,S&P 500 constituent Johnson & Johnson acquired Abiomed.[46]
VNO,Vornado Realty Trust,,2023-01-05,Market capitalization change.[45]
SBNY,Signature Bank,2021-12-20,2023-03-15,The FDIC placed Signature Bank into FDIC Receivership.[43]
SIVB,SVB Financial Group,2018-03-19,2023-03-15,"The FDIC placed SVB's main subsidiary, Silicon Valley Bank, into receivership.[44]"
LUMN,Lumen Technologies,,2023-03-20,Market capitalization change.[42]
FRC,First Republic Bank,2019-01-02,2023-05-04,The Federal Deposit Insurance Corporation (FDIC) placed First Republic Bank into FDIC Receivership.[41]
DISH,Dish Network,2017-03-13,2023-06-20,Market capitalization change.[40]
RE,Everest Re Group,2017-06-19,2023-07-10,Everest Re Group renamed to Everest Group and changed its ticker symbol from RE to EG
AAP,Advance Auto Parts,2015-07-08,2023-08-25,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[39]
LNC,Lincoln National Corporation,,2023-09-18,Market capitalization change.[38]
NWL,Newell Brands,,2023-09-18,Market capitalization change.[38]
DXC,DXC Technology,2017-04-04,2023-10-03,Market capitalization change.[37]
ATVI,Activision Blizzard,2015-08-28,2023-10-18,S&P 500 and S&P 100 constituent Microsoft acquired Activision Blizzard.[36]
OGN,Organon & Co.,2021-06-03,2023-10-18,Market capitalization change.[36]
ALK,Alaska Air Group,2016-05-13,2023-12-18,Market capitalization change.[35]
SEDG,SolarEdge,2021-12-20,2023-12-18,Market capitalization change.[35]
SEE,Sealed Air,,2023-12-18,Market capitalization change.[35]
WHR,Whirlpool Corporation,,2024-03-18,Market capitalization change.[34]
ZION,Zions Bancorporation,,2024-03-18,Market capitalization change.[34]
VFC,VF Corporation,,2024-04-03,Market capitalization change.[33]
XRAY,Dentsply Sirona,,2024-04-03,Market capitalization change.[33]
PXD,Pioneer Natural Resources,,2024-05-08,S&P 500 and S&P 100 constituent ExxonMobil acquired Pioneer Natural Resources.[32]
CMA,Comerica,,2024-06-24,Market capitalization change.[31]
ILMN,"Illumina, Inc.",2015-11-19,2024-06-24,Market capitalization change.[31]
RHI,Robert Half,,2024-06-24,Market capitalization change.[31]
AAL,American Airlines Group,2015-03-23,2024-09-23,Market capitalization change.[30]
BIO,Bio-Rad Laboratories,2020-06-22,2024-09-23,Market capitalization change.[30]
ETSY,Etsy,2020-09-21,2024-09-23,Market capitalization change.[30]
BBWI,"Bath & Body Works, Inc.",,2024-10-01,Market capitalization change.[29]
MRO,Marathon Oil,,2024-11-26,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[28]
AMTM,Amentum,2024-09-30,2024-12-23,Market capitalization change.[26]
CTLT,Catalent,2020-09-21,2024-12-23,Novo Holdings A/S acquired Catalent.[27]
QRVO,Qorvo,2015-06-11,2024-12-23,Market capitalization change.[26]
BWA,BorgWarner,2011-12-16,2025-03-24,Market capitalization change.[25]
CE,Celanese,2018-12-24,2025-03-24,Market capitalization change.[25]
FMC,FMC Corporation,2009-08-19,2025-03-24,Market capitalization change.[25]
TFX,Teleflex,2019-01-18,2025-03-24,Market capitalization change.[25]
DFS,Discover Financial,2007-07-02,2025-05-19,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.[24]
JNPR,Juniper Networks,2006-06-02,2025-07-09,S&P 500 constituent Hewlett Packard Enterprise Co. acquired Juniper Networks.[23]
ANSS,Ansys,2017-06-19,2025-07-18,S&P 500 constituent Synopsys Inc. acquired Ansys.[22]
HES,Hess Corporation,,2025-07-23,S&P 500 and S&P 100 constituent Chevron Corp. acquired Hess Corporation[21]
WBA,Walgreens Boots Alliance,,2025-08-28,Sycamore Partners acquired Walgreen Boots Alliance.[20]
CZR,Caesars Entertainment,2021-03-22,2025-09-22,Market capitalization change.[19]
ENPH,Enphase Energy,2021-01-07,2025-09-22,Market capitalization change.[19]
MKTX,MarketAxess,2019-07-01,2025-09-22,Market capitalization change.[19]
KMX,CarMax,2010-06-28,2025-10-31,Market capitalization change.[18]
EMN,Eastman Chemical Co.,,2025-11-04,Market capitalization change.[18]
IPG,Interpublic Group,,2025-11-28,S&P 500 constituent Omnicom Group Inc. acquired (The) Interpublic Group.[16][17]
K,Kellanova,,2025-12-11,Mars Inc. acquired Kellanova.[15]
LKQ,LKQ Corporation,2016-05-23,2025-12-22,Market capitalization change.[14]
MHK,Mohawk Industries,2013-12-23,2025-12-22,Market capitalization change.[14]
SOLS,Solstice Advanced Materials,2025-10-30,2025-12-22,Market capitalization change.[14]
DAY,Dayforce,,2026-02-09,Thoma Bravo L.P. acquired Dayforce.[13]
LW,Lamb Weston,2018-12-03,2026-03-23,Market capitalization change.[12]
MOH,Molina Healthcare,2022-03-02,2026-03-23,Market capitalization change.[12]
MTCH,Match Group,2021-09-20,2026-03-23,Market capitalization change.[12]
PAYC,Paycom,2020-01-28,2026-03-23,Market capitalization change.[12]
HOLX,Hologic,2016-03-30,2026-04-09,Blackstone Inc. and TPG Inc. acquired Hologic.[11]
CTRA,Coterra Energy,,2026-05-07,S&P 500 constituent Devon Energy Corp. acquired Coterra Energy. [9][10]
EPAM,EPAM Systems,2021-12-14,2026-06-02,Market capitalization change.[8]
CPB,Campbell's,,2026-06-22,Market capitalization change.[7]
POOL,Pool Corporation,2020-10-07,2026-06-22,Market capitalization change.[7]
CAG,Conagra Brands,,2026-06-30,Market capitalization change.[6]
