ticker,earn_date,sig,entry_date,entry,first12,mcap_pit,tier,sector,industry,profitable,lumpy,val_ok,rev_yoy,pe,ps,ret6,xs6,ret12,xs12,ret24,xs24
INMB,2023-08-07,S2b,2023-08-08,7.85,True,0.141,micro,Healthcare,Biotechnology,False,False,False,1.875,,711.5,0.5159,0.397,-0.0331,-0.2322,-0.6739,-1.1316
INMB,2025-05-08,S2b,2025-05-09,6.97,True,0.16,micro,Healthcare,Biotechnology,False,False,False,2.571,,1044.6,-0.7733,-0.9877,-0.7948,-1.1169,,
INN,2021-08-03,S2b,2021-08-04,7.14,True,0.76,small,Real Estate,REIT - Hotel & Motel,False,False,True,2.402,,3.1,0.1037,0.0747,-0.049,-0.0058,-0.3082,-0.3573
INN,2022-02-23,S2b,2022-02-24,8.35,False,0.888,small,Real Estate,REIT - Hotel & Motel,False,False,True,1.216,,2.5,-0.1467,-0.1198,-0.201,-0.1415,-0.2989,-0.5222
INN,2022-05-04,S2b,2022-05-05,7.61,False,0.814,small,Real Estate,REIT - Hotel & Motel,False,False,True,1.452,,1.8,-0.1274,-0.0446,-0.2497,-0.2638,-0.2849,-0.5727
INO,2021-03-01,S2b,2021-03-02,120.24,True,22.467,large,Healthcare,Biotechnology,False,True,False,18.967,,3031.5,-0.1198,-0.2999,-0.6956,-0.8436,-0.8703,-0.9301
INO,2022-08-09,S2b,2022-08-10,31.2,True,7.722,mid,Healthcare,Biotechnology,False,False,False,1.875,,4988.5,-0.3923,-0.3723,-0.8231,-0.9021,-0.7295,-1.0373
INO,2022-11-08,S2b,2022-11-09,26.16,False,6.527,mid,Healthcare,Biotechnology,False,False,False,30.382,,625.8,-0.6147,-0.7223,-0.8349,-1.0127,-0.7882,-1.4342
INSE,2021-05-10,S2a,2021-05-11,8.4,True,0.188,micro,Consumer Cyclical,Gambling,False,False,True,,,,0.8595,0.7326,0.2679,0.3072,0.6488,0.6237
INSE,2022-05-10,S2b,2022-05-11,10.65,True,0.286,micro,Consumer Cyclical,Gambling,False,False,True,1.658,,1.4,0.1108,0.0876,0.3005,0.2333,-0.1831,-0.5512
INSE,2024-02-27,S2b,2024-02-28,9.57,True,0.251,micro,Consumer Cyclical,Gambling,True,True,True,0.314,14.9,0.8,-0.0763,-0.1861,0.1264,-0.0623,-0.1473,-0.5358
INSG,2024-08-08,S1+S2a,2024-08-09,10.21,True,0.122,micro,Technology,Communication Equipment,False,False,True,0.104,,0.6,0.2547,0.1125,-0.331,-0.5414,,
INSG,2024-11-13,S2a+S2b,2024-11-14,12.31,False,0.154,micro,Technology,Communication Equipment,False,False,True,0.306,,0.8,-0.3639,-0.3605,-0.0845,-0.2307,,
INSM,2022-05-05,S2b,2022-05-06,20.59,True,2.457,mid,Healthcare,Biotechnology,False,False,True,0.321,,13.3,-0.1175,-0.049,-0.0578,-0.0779,0.2603,-0.0353
INSM,2022-08-04,S2b,2022-08-05,27.75,False,3.326,mid,Healthcare,Biotechnology,False,False,False,0.438,,15.8,-0.2187,-0.2186,-0.2076,-0.3058,1.5654,1.2759
INSM,2022-10-27,S2b,2022-10-28,17.51,False,2.131,mid,Healthcare,Biotechnology,False,False,True,0.449,,9.2,0.1136,0.0355,0.3638,0.2915,3.1097,2.5726
INSP,2021-05-04,S2b,2021-05-05,197.88,True,5.383,mid,Healthcare,Medical Devices,False,False,False,0.89,,40.1,0.3968,0.2625,-0.0499,-0.0583,0.4008,0.3782
INSP,2021-08-03,S1超+S2b,2021-08-04,211.0,False,5.753,mid,Healthcare,Medical Devices,False,False,False,3.347,,32.8,0.0569,0.0279,0.0327,0.0758,0.3137,0.2645
INSP,2021-11-02,S1超,2021-11-03,268.93,False,7.355,mid,Healthcare,Medical Devices,False,False,False,0.721,,36.6,-0.2059,-0.1078,-0.2398,-0.0503,-0.369,-0.3335
INSP,2022-08-02,S2b,2022-08-03,218.27,True,6.032,mid,Healthcare,Medical Devices,False,False,False,0.726,,21.9,0.1516,0.1479,0.3022,0.2015,-0.3145,-0.6395
INSP,2022-11-01,S2b,2022-11-02,206.69,False,5.957,mid,Healthcare,Medical Devices,False,False,False,0.77,,18.0,0.2449,0.1397,-0.2244,-0.3916,-0.0773,-0.6455
INSP,2023-05-02,S2b,2023-05-03,275.22,False,8.026,mid,Healthcare,Medical Devices,False,False,False,0.843,,20.2,-0.3834,-0.4565,-0.0927,-0.3639,-0.4193,-0.8464
INSP,2024-08-06,S2a+S2b,2024-08-07,188.38,True,5.615,mid,Healthcare,Medical Devices,False,False,True,0.296,,8.5,-0.0331,-0.1988,-0.591,-0.8252,,
INSP,2024-11-04,S2a+S2b,2024-11-05,199.0,False,5.963,mid,Healthcare,Medical Devices,True,False,False,0.325,611.9,8.3,-0.2023,-0.1857,-0.5838,-0.773,,
INSW,2022-05-04,S2b,2022-05-05,13.85,True,0.687,small,Energy,Oil & Gas Midstream,False,False,True,1.17,,2.5,1.0542,1.1371,0.852,0.8379,2.16,1.8722
INSW,2022-08-09,S2a+S2b,2022-08-10,17.0,False,0.845,small,Energy,Oil & Gas Midstream,False,False,True,3.064,,2.0,0.6591,0.6791,0.8943,0.8153,1.3115,1.0036
INSW,2022-11-08,S2a,2022-11-09,28.85,False,1.416,small,Energy,Oil & Gas Midstream,True,False,True,1.792,13.9,2.3,-0.1066,-0.2142,0.205,0.0271,0.2325,-0.4136
INSW,2023-05-05,S2b,2023-05-08,25.58,True,1.258,small,Energy,Oil & Gas Midstream,True,False,True,1.829,3.7,1.5,0.3585,0.2915,0.861,0.5897,0.2483,-0.1582
INTA,2022-11-08,S2b,2022-11-09,22.06,True,1.389,small,Technology,Software - Application,False,False,True,0.279,,5.0,0.9855,0.8779,0.6967,0.5189,1.6922,1.0462
INTA,2023-02-08,S2b,2023-02-09,35.6,False,2.266,mid,Technology,Software - Application,False,False,True,0.309,,7.6,-0.0587,-0.1619,0.1657,-0.0842,0.9958,0.4681
INTA,2023-05-09,S2b,2023-05-10,45.04,False,2.938,mid,Technology,Software - Application,False,False,True,0.321,,9.0,-0.1417,-0.2166,-0.1621,-0.4419,0.1967,-0.2077
INTC,2021-07-23,S1,2021-07-26,49.7,True,201.632,mega,Technology,Semiconductors,True,False,True,-0.005,11.3,2.6,-0.0354,-0.0247,-0.2616,-0.1606,-0.3225,-0.3871
INTC,2023-10-27,S1,2023-10-30,35.1,True,147.994,large,Technology,Semiconductors,True,True,False,-0.077,3794.7,2.7,-0.1409,-0.3575,-0.3647,-0.7792,0.1441,-0.534
INTG,2021-11-15,S2b,2021-11-16,46.89,True,0.104,micro,Consumer Cyclical,Lodging,True,True,True,0.581,30.3,3.4,0.0252,0.167,0.0642,0.2088,-0.4948,-0.484
