tk,ret,pkr,mul,dd,pass,spy
PPG,-0.149,0.091,-0.384,-0.436,True,0.8486307417784629
AVB,0.373,0.609,-0.021,-0.294,True,1.0483914870344244
ES,0.133,0.169,-0.275,-0.371,True,1.079143048901234
PPL,0.424,0.579,-0.177,-0.247,True,0.8957651064345447
FTI,7.517,9.065,-0.285,-0.474,False,0.9117117228618064
SYM,0.6,2.107,-0.377,-0.725,False,0.8804920125742404
WRB,0.7,0.839,-0.176,-0.263,True,0.8951288530965131
WSM,2.01,2.169,-0.356,-0.519,True,0.8960696934591954
ATI,10.689,11.414,-0.145,-0.38,False,0.7196929505274969
HUBB,1.68,2.041,-0.115,-0.326,True,0.8158989576920381
MTD,-0.121,0.15,-0.35,-0.435,True,0.817223650596163
P,1.331,1.983,-0.328,-0.486,False,0.6962631398966324
OKTA,-0.481,0.0,-0.834,-0.834,False,0.7583593743470534
TROW,-0.292,0.097,-0.541,-0.582,True,0.8083985885793605
ROIV,2.193,2.226,-0.236,-0.365,False,0.7251919664215694
NVT,4.141,4.924,-0.086,-0.467,False,0.8063489460020139
KEY,0.467,0.477,-0.522,-0.652,True,0.8210445108029081
WST,0.121,0.43,-0.418,-0.593,True,0.9158349783405422
WWD,2.355,2.479,-0.062,-0.193,True,0.730211040079721
FSLR,0.271,0.743,-0.341,-0.6,False,0.8814949576529814
MTSI,5.194,6.237,-0.221,-0.449,False,0.9032471620661233
ZM,-0.724,0.229,-0.83,-0.862,True,1.0488822886475746
MKSI,1.414,1.612,-0.657,-0.692,True,1.0699264163248094
LUV,-0.114,0.016,-0.632,-0.638,False,0.914825446507102
FTAI,12.356,14.762,-0.33,-0.521,False,0.7296158296339583
MKL,0.584,0.811,-0.116,-0.289,True,0.8063489460020139
FWONA,1.238,1.458,-0.012,-0.257,False,0.8008788571757468
FWONK,1.1,1.313,-0.025,-0.248,False,0.8008788571757468
LPLA,1.204,1.987,0.0,-0.332,True,0.8063489460020139
ZS,-0.165,1.103,-0.504,-0.764,False,1.1292709503267724
PFG,0.634,0.686,-0.111,-0.293,True,0.9100519882658946
XPO,3.192,3.623,-0.491,-0.532,True,0.8152785838880152
INSM,4.197,9.268,-0.21,-0.565,False,0.9068989246256576
TW,-0.044,0.398,-0.138,-0.384,True,0.4160426898980516
L,1.09,1.09,-0.101,-0.157,True,0.912748704845953
SOFI,1.361,3.124,-0.449,-0.53,False,0.9100519882658946
DGX,1.037,1.037,-0.024,-0.286,True,1.072440009303707
RL,2.573,2.71,-0.3,-0.365,True,0.8063489460020139
LH,0.259,0.28,-0.256,-0.346,True,0.9235790984689998
DRI,0.501,0.628,-0.273,-0.273,True,0.8340477027690079
UTHR,1.36,1.574,-0.091,-0.33,True,0.7174498455101386
INCY,0.336,0.346,-0.399,-0.415,False,1.0553395687879839
OMC,0.234,0.602,-0.125,-0.333,True,0.8486307417784629
USFD,1.937,1.952,-0.239,-0.328,False,0.8023451580849241
CHRW,1.169,1.267,-0.263,-0.406,True,0.9158349783405422
FOXA,-0.011,0.384,-0.108,-0.356,False,0.29549142617085744
ENTG,0.405,0.565,-0.474,-0.593,True,0.8151543709828799
FOX,-0.042,0.333,-0.122,-0.341,False,0.29549142617085744
STRL,31.343,40.389,-0.132,-0.477,False,0.8951288530965131
TEAM,-0.53,0.824,-0.677,-0.823,False,0.5048816718556053
EXPD,0.895,0.895,-0.054,-0.356,True,1.0564992794022463
UDR,-0.107,0.113,-0.382,-0.444,False,0.8083985885793605
SNA,1.046,1.046,-0.124,-0.208,True,0.8299517463157762
FIS,-0.353,0.377,-0.402,-0.565,False,0.5163297949542807
RBA,1.151,1.26,-0.049,-0.207,True,0.8794898466917025
GPN,-0.535,0.039,-0.615,-0.629,True,0.8210445108029081
IFF,-0.327,0.136,-0.516,-0.574,True,0.9129008781490326
ROKU,-0.666,0.141,-0.908,-0.919,False,1.108782636834599
STE,0.021,0.284,-0.254,-0.362,True,0.8023451580849241
HPQ,-0.127,0.439,-0.298,-0.512,True,0.8918076158487358
DKS,1.724,1.862,-0.236,-0.488,True,0.9077429187656374
EFX,-0.265,0.368,-0.339,-0.497,True,0.9392095351609058
IP,-0.097,0.251,-0.318,-0.455,True,0.3459120426413127
EVRG,0.661,0.681,-0.174,-0.298,True,0.9077429187656374
ESS,0.101,0.14,-0.36,-0.439,True,0.8082130152472555
LII,0.792,1.094,-0.444,-0.469,True,0.9144126808811726
DOW,-0.428,0.179,-0.58,-0.644,True,0.8113170241498278
BURL,-0.026,0.091,-0.661,-0.689,True,0.9067423416857745
SNX,1.365,1.625,-0.302,-0.365,True,0.8341641763921526
ULTA,0.317,1.047,-0.089,-0.446,True,0.9067423416857745
FTV,0.153,0.201,-0.26,-0.321,False,0.8083985885793605
RS,1.57,1.853,-0.104,-0.223,True,0.8083985885793605
SBAC,-0.327,0.344,-0.388,-0.545,True,0.9077429187656374
DD,0.506,0.668,-0.365,-0.402,True,0.9235790984689998
LSCC,1.442,1.592,-0.368,-0.611,False,0.8152785838880152
